판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
225883,손해배상(기),2019다231625,2019.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=225883&type=HTML&mobileYn=
225869,임금,2015다254873,2019.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=225869&type=HTML&mobileYn=
225715,손해배상(기),2019다247712,2019.11.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=225715&type=HTML&mobileYn=
210819,구상금,2019다240629,2019.11.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=210819&type=HTML&mobileYn=
210427,대여금,2019다247651,2019.10.31,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=210427&type=HTML&mobileYn=
210861,부당이득금·소유권확인,2019다213368,2019.10.31,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=210861&type=HTML&mobileYn=
225295,임금,2014다41681,2019.7.4,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=225295&type=HTML&mobileYn=
225183,부당이득금,2016다218607,2019.5.16,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=225183&type=HTML&mobileYn=
207487,소유권말소등기,2015다253573,2019.5.16,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=207487&type=HTML&mobileYn=
206297,부당이득금,2015다49804,2019.3.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=206297&type=HTML&mobileYn=
208824,약정금,2018다275727,2019.2.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=208824&type=HTML&mobileYn=
205366,임금,2015다217287,2019.2.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=205366&type=HTML&mobileYn=
205359,채무부존재확인·규정손해금·규정손해금,2016다245418,2019.2.14,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=205359&type=HTML&mobileYn=
203770,위약금,2016다257978,2018.10.12,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=203770&type=HTML&mobileYn=
206353,권리행사최고및담보취소,2017마6092,2018.10.2,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=o480vt&target=prec&ID=206353&type=HTML&mobileYn=
205723,연장근로수당등청구의소·연장근로수당등청구의소·연장근로수당등청구의소·연장근로수당등청구의소,2016다212869,2018.9.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=205723&type=HTML&mobileYn=
203784,소유권이전말소등기절차이행,2014다79303,2018.9.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=203784&type=HTML&mobileYn=
205730,손해배상청구의소,2018다241403,2018.9.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=205730&type=HTML&mobileYn=
231917,부당이득금[해고의 유효 여부와 해고예고수당 지급의무의 성립],2017다16778,2018.9.13,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=231917&type=HTML&mobileYn=
199836,등록금환불(학교법인이 운영하는 대학교의 시설미비 등을 이유로 학교법인 등을 상대로 손해배상을 청구한 사건),2016다34281,2018.7.20,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=199836&type=HTML&mobileYn=
194334,채무부존재확인(공인인증서를 이용한 전자금융거래의 효력),2017다257395,2018.3.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=194334&type=HTML&mobileYn=
195447,수익금등,2017다8395,2017.7.11,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=195447&type=HTML&mobileYn=
185115,손해배상(기),2016다231358,2017.3.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=185115&type=HTML&mobileYn=
192738,협약유효확인,2014다208255,2017.3.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=192738&type=HTML&mobileYn=
184527,보수월액확인청구의소,2015다216826,2017.3.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=184527&type=HTML&mobileYn=
184534,채무부존재확인,2015다252501,2017.3.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=184534&type=HTML&mobileYn=
184100,부당이득금등·약정금등,2015다68355,2017.1.12,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=184100&type=HTML&mobileYn=
184548,건물명도등,2013다48241,2016.12.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=184548&type=HTML&mobileYn=
183463,채무부존재확인·보험금지급,2016다218713,2016.9.30,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=183463&type=HTML&mobileYn=
183071,사해행위취소,2016다207928,2016.7.22,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=183071&type=HTML&mobileYn=
183029,임료,2014다2662,2016.7.7,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=183029&type=HTML&mobileYn=
182987,부당이득금,2014다31721,2016.6.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=182987&type=HTML&mobileYn=
182980,분담금연체이자반환,2014다16500,2016.6.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=182980&type=HTML&mobileYn=
184394,손해배상(기),2015다205864,2016.6.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=184394&type=HTML&mobileYn=
182511,임금,2012다85335,2016.5.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=182511&type=HTML&mobileYn=
183302,소유권이전등기,2013다211803,2016.4.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=183302&type=HTML&mobileYn=
182413,유류분반환청구,2013다75281,2016.1.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=182413&type=HTML&mobileYn=
182434,구상금,2015다236431,2016.1.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=182434&type=HTML&mobileYn=
180250,상호사용금지등,2013다76635,2016.1.28,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=180250&type=HTML&mobileYn=
192654,소유권이전등기,2013다17124,2015.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=192654&type=HTML&mobileYn=
182364,선거무효확인,2014다14320,2015.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=182364&type=HTML&mobileYn=
179704,부당이득금반환,2014다17206,2015.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=179704&type=HTML&mobileYn=
179739,손해배상(기),2012다71411,2015.12.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=179739&type=HTML&mobileYn=
179725,관리비,2013다207255,2015.10.15,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=179725&type=HTML&mobileYn=
179697,부당이득금,2015다200524,2015.8.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=179697&type=HTML&mobileYn=
179711,특허권침해금지등,2014다7964,2015.8.27,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=179711&type=HTML&mobileYn=
178829,입회보증금반환,2013다70903,2015.7.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=178829&type=HTML&mobileYn=
178808,채무부존재확인,2014다14672,2015.7.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=178808&type=HTML&mobileYn=
179795,부당이득금반환등,2014다225359,2015.7.23,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=179795&type=HTML&mobileYn=
178549,손해배상(기)(금융투자상품 손해배상 사건),2013다13849,2015.6.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=178549&type=HTML&mobileYn=
177555,임금,2012다32690,2015.1.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=177555&type=HTML&mobileYn=
192591,손해배상(기),2012다74342,2015.1.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=192591&type=HTML&mobileYn=
177583,보험금,2014다73053,2015.1.29,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=177583&type=HTML&mobileYn=
176512,부당이득금반환등,2013다11669,2014.12.24,대법원,민사,400101,판결,선고,/DRF/lawService.do?OC=o480vt&target=prec&ID=176512&type=HTML&mobileYn=
